Codigo,Nombre,Precio,Inventario,Descripcion,SinIVA,ConIVA,Venta,Final
8005125398799,PZZL1000VENOMCOMPACT,$24.000,4,Puzzle 1000 Venom Compact,,,$24.000,
3558380079897,UNSTABLEUNICORNS,$22.000,4,UNSTABLE UNICORNS,$12.935,$15.400,$22.000,
8005125399888,PZZL1000GLOBOSCAPPCOMPACT,$20.000,4,Puzzle 1000 Globos en Cappadocia Compact,,,$20.000,
8005125399703,PZZL1000MUSEOFLORESCOMPACT,$20.000,4,Puzzle 1000 Museo Bol de Flores VAN DEEL Compact,,,$20.000,
8005125398447,PZZL1000PSTLLONDRESCOMPACT,$20.000,4,Puzzle 1000 Postal Londres Compact,,,$20.000,
8005125398430,PZZL1000PSTLPARISCOMPACT,$20.000,4,Puzzle 1000 Postal Paris Compact,,,$20.000,
3558380111016,CORTEXDISNEY,$16.000,4,CORTEX DISNEY,$9.406,$11.200,$16.000,
3558380123996,DOBBLELILOSTITCH,$16.000,4,DOBBLE LILO Y STITCH,$9.406,$11.200,$16.000,
3558380086499,DOBBLEPAWPATROL,$16.000,4,DOBBLE PAW PATROL,$9.406,$11.200,$16.000,
8425402271438,VIRUSEXPEVOLUCION,16000,4,Expansion Virus Evolucoin,9406,"11193,14",16000,
8436607943488,EXITELLEGADODELPROFESOR,$15.000,4,"EXIT ""EL LEGADO DEL PROFESOR""",$8.818,$10.500,$15.000,
8436017228717,EXITELMUSEOMISTERIOSO,$15.000,4,"EXIT ""EL MUSEO MISTERIOSO""",$8.818,$10.493,$15.000,
8436017225242,EXITLATUMBRADELFARAON,$15.000,4,Exit La Tumba Del Faraon,$8.818,$10.493,$15.000,
73854024416,BICYCLEMATELLUXEBLUE,$13.000,4,Mazo Bicycle Metalluxe Blue,,,$13.000,
73854024409,BICYCLEMETALLUXERED,$13.000,4,Mazo Bicycle Metalluxe Red,7794,"9274,86",$13.000,
3558380038092,DOBBLENUMERO,$13.000,4,"DOBBLE 1, 2, 3",$7.641,$9.100,$13.000,
7804682800018,KAWARIMI,$13.000,4,KAWARIMI,,$0,$15.000,$13.000
3664824001406,TACOGORROTORTACAJAPIZZA,$12.000,4,TACO GORRO TORTA CAJA PIZZA,$7.053,$8.400,$12.000,
8436607943969,MATCH,10000,4,Match,5876,"6992,44",10000,
8435407639119,AZULJARDINDELAREINA,$45.000,3,AZUL JARDIN DE LA REINA,$26.470,$31.500,$45.000,
8436017227048,DOMINION,$35.000,3,DOMINION,$21.137,$25.200,$36.000,$35.000
3558380088417,STELLA,$35.000,3,Stella Dixit,20582,"24492,58",$35.000,
8436589626805,BAMBOO,$30.000,3,BAMBOO,$17.641,$21.000,$30.000,
8436607940593,WHITECASTLE,$30.000,3,WHITE CASTLE,$15.682,$18.700,$27.000,$30.000
3558380126546,AZUL DUEL,$27.000,3,AZUL DUEL,$15.877,$18.900,$27.000,
8005125399178,PuzzleClasicosDisney,$24.000,3,Puzzle 1000 piezas Clasicos Disney,$11.995,$14.274,$24.000,
8005125319992,Puzzle 1500 piezas Montmartre,$23.000,3,Puzzle 1500 piezas Montmartre,$11.495,$13.679,$23.000,
8005125316960,Puzzle 1500 piezas Zaanse Scha,$23.000,3,Puzzle 1500 piezas Zaanse Schans,$11.495,$13.679,$23.000,
